DATE,temp_c,prediction
2015-03-31,6.33225806451613,5.5
2015-04-30,9.683333333333334,10.4
2015-05-31,13.861290322580645,14.8
2015-06-30,17.209999999999997,18.3
2015-07-31,20.432258064516127,19.9
2015-08-31,22.612903225806452,18.8
2015-09-30,14.76,15.5
2015-10-31,9.019354838709678,11.2
2015-11-30,8.063333333333334,6.4
2015-12-31,7.393548387096774,3.0
2016-01-31,0.10645161290322583,1.6
2016-02-29,4.224137931034483,2.6
2016-03-31,5.229032258064516,5.8
2016-04-30,9.406666666666666,10.3
2016-05-31,16.206451612903226,14.9
2016-06-30,19.663333333333334,18.3
2016-07-31,20.61935483870968,19.8
2016-08-31,19.06451612903226,18.7
2016-09-30,18.626666666666665,15.6
2016-10-31,9.077419354838709,11.1
2016-11-30,4.253333333333333,6.5
2016-12-31,3.3677419354838714,3.1
2017-01-31,-0.7516129032258064,1.7
2017-02-28,2.3785714285714286,2.7
2017-03-31,7.958064516129032,5.8
2017-04-30,8.629999999999999,10.3
2017-05-31,15.516129032258064,14.9
2017-06-30,18.92,18.3
2017-07-31,19.225806451612904,19.7
2017-08-31,19.493548387096773,18.7
2017-09-30,14.346666666666666,15.6
2017-10-31,12.029032258064515,11.1
2017-11-30,6.22,6.6
2017-12-31,3.9419354838709677,3.2
2018-01-31,3.7387096774193544,1.8
2018-02-28,-0.7999999999999999,2.8
2018-03-31,1.9870967741935484,5.9
2018-04-30,13.956666666666667,10.3
2018-05-31,18.041935483870965,14.8
2018-06-30,19.61,18.3
2018-07-31,22.096774193548388,19.7
2018-08-31,22.183870967741935,18.7
2018-09-30,17.14333333333333,15.5
2018-10-31,11.716129032258063,11.2
2018-11-30,5.736666666666666,6.7
2018-12-31,4.745161290322581,3.3
2019-01-31,1.6516129032258065,1.9
2019-02-28,5.185714285714285,2.9
2019-03-31,7.370967741935484,6.0
2019-04-30,11.16,10.4
2019-05-31,13.154838709677419,14.8
2019-06-30,22.796666666666667,18.2
2019-07-31,20.238709677419354,19.6
2019-08-31,21.43548387096774,18.6
2019-09-30,15.543333333333333,15.5
2019-10-31,11.76774193548387,11.2
2019-11-30,6.613333333333333,6.7
2019-12-31,4.616129032258065,3.4
2020-01-31,4.658064516129032,2.0
2020-02-29,6.241379310344827,3.0
2020-03-31,5.919354838709677,6.0
2020-04-30,11.18,10.4
2020-05-31,12.935483870967742,14.8
2020-06-30,19.486666666666668,18.2
2020-07-31,19.161290322580644,19.6
2020-08-31,22.29032258064516,18.6
2020-09-30,16.413333333333334,15.5
2020-10-31,11.516129032258064,11.2
2020-11-30,7.323333333333333,6.8
2020-12-31,3.5032258064516126,3.5
2021-01-31,1.3225806451612903,2.1
2021-02-28,1.4107142857142858,3.1
2021-03-31,5.725806451612903,6.1
2021-04-30,7.183333333333334,10.4
2021-05-31,12.55483870967742,14.8
2021-06-30,21.633333333333333,18.1
2021-07-31,21.206451612903226,19.5
2021-08-31,18.05483870967742,18.6
2021-09-30,16.276666666666667,15.5
2021-10-31,11.12258064516129,11.3
2021-11-30,6.556666666666667,6.9
2021-12-31,2.3096774193548386,3.6
2022-01-31,3.8,2.2
2022-02-28,5.292857142857143,3.2
2022-03-31,5.854838709677419,6.2
2022-04-30,8.783333333333333,10.4
2022-05-31,15.880645161290323,14.8
2022-06-30,20.663333333333334,18.1
2022-07-31,20.58709677419355,19.5
2022-08-31,22.019354838709678,18.5
2022-09-30,14.186666666666667,15.5
